,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,GoodSeparationGose,CelluleSomaticheDifferenzialiDscc,DataAnalisiDscc,NumeroCampioneDscc,identifying_column
0,-9223372036733053559,-9223372036850176197,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629350,-9223372036850176197_2018-01-03
1,-9223372036733199967,-9223372036850185852,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629301,-9223372036850185852_2018-01-03
2,-9223372036733201701,-9223372036848662478,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629316,-9223372036848662478_2018-01-03
3,-9223372036733231966,-9223372036850186373,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629241,-9223372036850186373_2018-01-03
4,-9223372036733256148,-9223372036850185944,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629508,-9223372036850185944_2018-01-03
5,-9223372036733264565,-9223372036850183262,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629428,-9223372036850183262_2018-01-03
6,-9223372036733447271,-9223372036848662488,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629359,-9223372036848662488_2018-01-03
7,-9223372036733551015,-9223372036850183361,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629349,-9223372036850183361_2018-01-03
8,-9223372036733559031,-9223372036850185920,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629373,-9223372036850185920_2018-01-03
9,-9223372036733630514,-9223372036850176230,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629208,-9223372036850176230_2018-01-03
10,-9223372036733645748,-9223372036850183323,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629564,-9223372036850183323_2018-01-03
11,-9223372036733647768,-9223372036850186266,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629252,-9223372036850186266_2018-01-03
12,-9223372036733722105,-9223372036850186579,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629231,-9223372036850186579_2018-01-03
13,-9223372036733793349,-9223372036850183357,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629239,-9223372036850183357_2018-01-03
14,-9223372036733811467,-9223372036848572699,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629763,-9223372036848572699_2018-01-03
15,-9223372036733822744,-9223372036849657747,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629530,-9223372036849657747_2018-01-03
16,-9223372036733889110,-9223372036848570515,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629244,-9223372036848570515_2018-01-03
17,-9223372036733986605,-9223372036850185933,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629286,-9223372036850185933_2018-01-03
18,-9223372036734004601,-9223372036849123183,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629211,-9223372036849123183_2018-01-03
19,-9223372036734164606,-9223372036850176144,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629288,-9223372036850176144_2018-01-03
20,-9223372036734191877,-9223372036849119392,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629210,-9223372036849119392_2018-01-03
21,-9223372036734224642,-9223372036848662213,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629467,-9223372036848662213_2018-01-03
22,-9223372036734257299,-9223372036848573635,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629243,-9223372036848573635_2018-01-03
23,-9223372036734272745,-9223372036850185986,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629277,-9223372036850185986_2018-01-03
24,-9223372036734293665,-9223372036848573636,24,VI,C4,11,3,1,2018,0.0,0.0,2018-01-03,73629212,-9223372036848573636_2018-01-03
25,-9223372036733096956,-9223372036850291039,17,BS,C4,11,28,2,2018,,68.1,2018-02-28,76239671,-9223372036850291039_2018-02-28
26,-9223372036733142204,-9223372036848574308,24,VI,C4,11,15,2,2018,1.0,74.9,2018-02-15,11384962,-9223372036848574308_2018-02-15
27,-9223372036733259214,-9223372036850176152,24,VI,C4,11,15,2,2018,1.0,63.6,2018-02-15,11384783,-9223372036850176152_2018-02-15
28,-9223372036733309512,-9223372036848662488,24,VI,C4,11,15,2,2018,1.0,69.6,2018-02-15,11385036,-9223372036848662488_2018-02-15
29,-9223372036733344336,-9223372036848662213,24,VI,C4,11,15,2,2018,1.0,60.3,2018-02-15,11384798,-9223372036848662213_2018-02-15
30,-9223372036733347868,-9223372036848573636,24,VI,C4,11,15,2,2018,1.0,65.6,2018-02-15,11385023,-9223372036848573636_2018-02-15
31,-9223372036733393131,-9223372036850185920,24,VI,C4,11,15,2,2018,1.0,55.3,2018-02-15,11384950,-9223372036850185920_2018-02-15
32,-9223372036733403213,-9223372036848570515,24,VI,C4,11,15,2,2018,1.0,72.3,2018-02-15,11385057,-9223372036848570515_2018-02-15
33,-9223372036733444146,-9223372036850183266,24,VI,C4,11,15,2,2018,1.0,33.6,2018-02-15,11384584,-9223372036850183266_2018-02-15
34,-9223372036733466157,-9223372036850183262,24,VI,C4,11,15,2,2018,1.0,59.8,2018-02-15,11384864,-9223372036850183262_2018-02-15
35,-9223372036733549423,-9223372036848662478,24,VI,C4,11,15,2,2018,1.0,71.8,2018-02-15,11384879,-9223372036848662478_2018-02-15
36,-9223372036733568210,-9223372036848914553,13,CO,C4,11,21,2,2018,,81.2,2018-02-21,74086978,-9223372036848914553_2018-02-21
37,-9223372036733576773,-9223372036848629487,13,CO,C4,11,22,2,2018,,45.3,2018-02-22,70200908,-9223372036848629487_2018-02-22
38,-9223372036733613496,-9223372036848656749,25,BL,C4,11,19,2,2018,1.0,63.3,2018-02-19,73612319,-9223372036848656749_2018-02-19
39,-9223372036733632747,-9223372036850185840,24,VI,C4,11,15,2,2018,1.0,45.2,2018-02-15,11384860,-9223372036850185840_2018-02-15
40,-9223372036733664597,-9223372036850185986,24,VI,C4,11,15,2,2018,1.0,60.7,2018-02-15,11384564,-9223372036850185986_2018-02-15
41,-9223372036733670516,-9223372036849667254,24,VI,C4,11,15,2,2018,1.0,87.3,2018-02-15,11391266,-9223372036849667254_2018-02-15
42,-9223372036733710009,-9223372036849516329,25,BL,C4,11,19,2,2018,1.0,33.6,2018-02-19,73602962,-9223372036849516329_2018-02-19
